ไม่ทราบว่า จะติดต่ออาจารย์ได้ยังไง,ข้อมูล-คน,Yes,No,Yes
ไม่ทราบว่า จะติดต่ออ.ได้ยังไง,ข้อมูล-คน,Yes,No,Yes
ไม่ทราบว่า จะติดต่อด๊อกเตอร์ได้ยังไง,ข้อมูล-คน,Yes,No,Yes
ไม่ทราบว่า จะติดต่อดร.ได้ยังไง,ข้อมูล-คน,Yes,No,Yes
จะติดต่ออาจารย์ได้ยังไง,ข้อมูล-คน,Yes,No,Yes
จะติดต่ออ.ได้ยังไง,ข้อมูล-คน,Yes,No,Yes
จะติดต่อด๊อกเตอร์ได้ยังไง,ข้อมูล-คน,Yes,No,Yes
จะติดต่อดร.ได้ยังไง,ข้อมูล-คน,Yes,No,Yes
อาจารย์อยู่ไหม,บุคคล,Yes,No,No
อาจารย์อยู่ไหม,บุคคล,Yes,No,No
อ.อยู่ไหม,บุคคล,Yes,No,No
อ.อยู่ไหม,บุคคล,Yes,No,No
คุณอยู่ไหม,บุคคล,Yes,No,No
คุณอยู่ไหม,บุคคล,Yes,No,No
ด๊อกเตอร์อยู่ไหม,บุคคล,Yes,No,No
ด๊อกเตอร์อยู่ไหม,บุคคล,Yes,No,No
ดร.อยู่ไหม,บุคคล,Yes,No,No
ดร.อยู่ไหม,บุคคล,Yes,No,No
อาจารย์อยู่ไหน,สถานที่-คน,Yes,Yes,No
อาจารย์อยู่ไหน,สถานที่-คน,Yes,Yes,No
อ.อยู่ไหน,สถานที่-คน,Yes,Yes,No
อ.อยู่ไหน,สถานที่-คน,Yes,Yes,No
คุณอยู่ไหน,สถานที่-คน,Yes,Yes,No
คุณอยู่ไหน,สถานที่-คน,Yes,Yes,No
ด๊อกเตอร์อยู่ไหน,สถานที่-คน,Yes,Yes,No
ด๊อกเตอร์อยู่ไหน,สถานที่-คน,Yes,Yes,No
ดร.อยู่ไหน,สถานที่-คน,Yes,Yes,No
ดร.อยู่ไหน,สถานที่-คน,Yes,Yes,No
ไม่ทราบว่า จะติดต่ออาจารย์ได้ที่ไหน,สถานที่-คน,Yes,Yes,No
ไม่ทราบว่า จะติดต่ออ.ได้ที่ไหน,สถานที่-คน,Yes,Yes,No
ไม่ทราบว่า จะติดต่อด๊อกเตอร์ได้ที่ไหน,สถานที่-คน,Yes,Yes,No
ไม่ทราบว่า จะติดต่อดร.ได้ที่ไหน,สถานที่-คน,Yes,Yes,No
ห้องอ.อยู่ไหน,สถานที่-คน,Yes,Yes,No
ห้องอ.อยู่ทางไหน,สถานที่-คน,Yes,Yes,No
ห้องอาจารย์อยู่ไหน,สถานที่-คน,Yes,Yes,No
ห้องอาจารย์อยู่ทางไหน,สถานที่-คน,Yes,Yes,No
ห้องดร.อยู่ไหน,สถานที่-คน,Yes,Yes,No
ห้องดร.อยู่ทางไหน,สถานที่-คน,Yes,Yes,No
ห้องด๊อกเตอร์อยู่ไหน,สถานที่-คน,Yes,Yes,No
ห้องด๊อกเตอร์อยู่ทางไหน,สถานที่-คน,Yes,Yes,No
ห้องอยู่ไหน,สถานที่-สถานที่,No,Yes,No
ห้องอยู่ไหนหรอ,สถานที่-สถานที่,No,Yes,No
ห้องไปทางไหน,สถานที่-สถานที่,No,Yes,No
ห้องไปทางไหนหรอ,สถานที่-สถานที่,No,Yes,No
อาจารย์อยู่ชั้นไหน,สถานที่-คน,Yes,Yes,No
อ.อยู่ชั้นไหน,สถานที่-คน,Yes,Yes,No
อ.อยู่ชั้นไหน,สถานที่-คน,Yes,Yes,No
คุณอยู่ชั้นไหน,สถานที่-คน,Yes,Yes,No
ดร.อยู่ชั้นไหน,สถานที่-คน,Yes,Yes,No
ด๊อกเตอร์.อยู่ชั้นไหน,สถานที่-คน,Yes,Yes,No
อยู่ชั้นไหน,สถานที่-คน,Yes,Yes,No
ขอเข้าห้องหน่อย,สถานที่-สถานที่,No,Yes,No
ไม่ทราบว่าห้องอยู่ทางไหนหรอ,สถานที่-สถานที่,No,Yes,No
ไม่ทราบว่าห้องอยู่ไหนหรอ,สถานที่-สถานที่,No,Yes,No
โทษนะ มีห้องไหม,สถานที่-สถานที่,No,Yes,No
ห้องอยู่ไหน,สถานที่-สถานที่,No,Yes,No
ห้องอยู่ไหนหรอ,สถานที่-สถานที่,No,Yes,No
ห้องไปทางไหน,สถานที่-สถานที่,No,Yes,No
ห้องไปทางไหนหรอ,สถานที่-สถานที่,No,Yes,No
อยู่ชั้นไหน,สถานที่-คน,Yes,Yes,No
ขอเข้าห้องหน่อย,สถานที่-สถานที่,No,Yes,No
ไม่ทราบว่าห้องอยู่ทางไหนหรอ,สถานที่-สถานที่,No,Yes,No
ไม่ทราบว่าห้องอยู่ไหนหรอ,สถานที่-สถานที่,No,Yes,No
โทษนะ มีห้องไหม,สถานที่-สถานที่,No,Yes,No
ห้องอยู่ไหน,สถานที่-สถานที่,No,Yes,No
ห้องอยู่ไหนหรอ,สถานที่-สถานที่,No,Yes,No
ห้องไปทางไหน,สถานที่-สถานที่,No,Yes,No
ห้องไปทางไหนหรอ,สถานที่-สถานที่,No,Yes,No
อยู่ชั้นไหน,สถานที่-คน,Yes,Yes,No
ขอเข้าห้องหน่อย,สถานที่-สถานที่,No,Yes,No
ไม่ทราบว่าห้องอยู่ทางไหนหรอ,สถานที่-สถานที่,No,Yes,No
ไม่ทราบว่าห้องอยู่ไหนหรอ,สถานที่-สถานที่,No,Yes,No
โทษนะ มีห้องไหม,สถานที่-สถานที่,No,Yes,No
ห้องอยู่ไหน,สถานที่-สถานที่,No,Yes,No
ห้องอยู่ไหนหรอ,สถานที่-สถานที่,No,Yes,No
ห้องไปทางไหน,สถานที่-สถานที่,No,Yes,No
ห้องไปทางไหนหรอ,สถานที่-สถานที่,No,Yes,No